city,Cloudiness,country,Date,Humidity,lat,lon,Max Temp,Wind Speed
busselton,0.0,au,2018-03-02 06:36:37,93.0,-43.72,96.28,71.3,16.62
hithadhoo,36.0,mv,2018-03-02 06:36:44,100.0,-6.45,80.82,82.24,7.56
atuona,64.0,pf,2018-03-02 06:36:30,97.0,-3.61,-143.85,82.01,18.07
bambous virieux,75.0,mu,2018-03-02 06:00:00,79.0,-34.78,82.77,84.2,16.11
ushuaia,75.0,ar,2018-03-02 06:00:00,76.0,-57.92,-66.57,48.2,25.28
mayor pablo lagerenza,0.0,py,2018-03-02 06:40:21,96.0,-20.37,-60.28,72.2,5.99
lebu,48.0,cl,2018-03-02 06:37:21,68.0,-33.40,-87.68,59.38,3.87
chambersburg,90.0,us,2018-03-02 06:25:00,74.0,39.98,-77.95,46.4,23.04
zlobin,90.0,by,2018-03-02 06:30:00,100.0,52.61,29.68,37.4,2.24
longyearbyen,40.0,sj,2018-03-02 06:20:00,60.0,85.71,25.94,10.4,14.99
sitka,0.0,us,2018-03-02 06:39:15,56.0,53.96,-141.54,36.07,10.58
havelock,1.0,us,2018-03-02 05:58:00,82.0,32.84,-75.30,62.6,12.75
bluff,12.0,nz,2018-03-02 06:39:11,73.0,-70.11,166.88,89.62,4.21
barrow,0.0,us,2018-03-02 06:40:23,95.0,83.65,-154.16,64.55,5.77
victoria,75.0,sc,2018-03-02 05:30:00,88.0,-4.73,57.39,86,4.7
ribeira grande,80.0,pt,2018-03-02 06:37:46,100.0,31.66,-33.91,55.06,26.13
panaba,0.0,mx,2018-03-02 06:40:24,73.0,23.55,-88.56,74.23,6.44
new norfolk,40.0,au,2018-03-02 06:00:00,56.0,-49.01,144.27,69.8,10.29
punta arenas,75.0,cl,2018-03-02 06:00:00,71.0,-65.42,-88.01,53.6,17.22
vardo,90.0,no,2018-03-02 06:15:00,81.0,85.48,36.97,46.4,26.4
east london,40.0,za,2018-03-02 06:00:00,94.0,-66.42,50.25,68,6.93
dikson,64.0,ru,2018-03-02 06:39:09,95.0,73.66,82.37,0.11,13.71
lao cai,0.0,vn,2018-03-02 06:40:27,56.0,22.30,103.25,74.86,2.3
brignoles,92.0,fr,2018-03-02 06:30:00,75.0,43.42,6.05,46.4,16.11
nanortalik,0.0,gl,2018-03-02 06:36:04,95.0,57.51,-45.15,24.95,5.77
kapaa,90.0,us,2018-03-02 05:56:00,88.0,22.70,-166.72,73.4,19.46
lasa,20.0,cn,2018-03-02 06:30:00,72.0,35.52,89.67,60.8,5.82
khatanga,20.0,ru,2018-03-02 06:32:54,77.0,80.89,104.04,-12.09,8.9
ushuaia,75.0,ar,2018-03-02 06:00:00,76.0,-60.17,-49.06,48.2,25.28
busselton,0.0,au,2018-03-02 06:36:37,93.0,-54.38,82.05,71.3,16.62
saldanha,48.0,za,2018-03-02 06:40:28,95.0,-36.14,6.37,31.48,5.21
punta arenas,75.0,cl,2018-03-02 06:00:00,71.0,-56.80,-74.79,53.6,17.22
banes,20.0,cu,2018-03-02 05:50:00,93.0,21.91,-75.58,66.2,1.12
narsaq,0.0,gl,2018-03-02 05:50:00,67.0,84.71,-62.26,23,2.24
vanderhoof,88.0,ca,2018-03-02 06:37:02,67.0,52.54,-123.93,26.03,10.92
bluff,12.0,nz,2018-03-02 06:39:11,73.0,-72.71,163.71,89.62,4.21
kimberley,0.0,ca,2018-03-02 06:00:00,53.0,50.09,-115.98,71.6,6.93
dhidhdhoo,24.0,mv,2018-03-02 06:41:30,100.0,8.08,73.84,82.91,17.07
albany,90.0,au,2018-03-02 06:19:00,86.0,-64.36,114.49,39.2,9.17
kingman,1.0,us,2018-03-02 05:56:00,44.0,34.87,-114.18,57.2,8.05
busselton,0.0,au,2018-03-02 06:36:37,93.0,-44.71,86.84,71.3,16.62
ushuaia,75.0,ar,2018-03-02 06:00:00,76.0,-84.71,-47.76,48.2,25.28
oparino,92.0,ru,2018-03-02 06:41:32,78.0,59.52,48.30,6.95,3.65
tuatapere,48.0,nz,2018-03-02 06:41:32,88.0,-52.23,161.79,66.49,4.76
iskateley,0.0,ru,2018-03-02 06:41:33,74.0,69.08,53.64,15.82,15.5
nogliki,80.0,ru,2018-03-02 06:41:33,95.0,52.69,144.92,23.06,28.59
cape town,0.0,za,2018-03-02 06:00:00,56.0,-52.59,-8.62,69.8,6.93
san policarpo,88.0,ph,2018-03-02 06:41:34,100.0,13.49,129.58,79.81,7.23
hobart,40.0,au,2018-03-02 06:00:00,56.0,-46.14,150.70,69.8,10.29
